start	end	text
20200	25080	Israel is responding to Hamas' surprise attacks at the weekend with a series of airstrikes
25080	25640	in Gaza.
25900	29180	Palestinian health officials say more than 400 people have been killed.
29460	34160	Israel says that more than 700 of its citizens have died in the attacks so far, we get the
34160	35400	latest from both sides.
42940	45420	BBC News with Emily Thomas
45940	51380	The Israeli military has said its fighter jets, helicopters and artillery have struck over
51380	54500	500 targets overnight in the Gaza Strip.
55060	60200	Operations are continuing against Palestinian Hamas militants in several locations inside
60200	64460	Israel two days after they carried out a devastating mass assault.
64940	67780	More than 700 Israelis have been killed.
68240	73740	Health officials in Gaza say more than 400 Palestinians have been killed by Israeli airstrikes before
73740	74880	the latest barrage.
75800	80660	Hamas said it had fired missiles targeting Ben-Gurion Airport near Tel Aviv.
81300	86700	Three U.S. air carriers as well as Air France, Lufthansa and Emirates have suspended services
86700	90900	to Tel Aviv, but some evacuation flights have taken place from the airport.
91480	96600	The UN Security Council has held an emergency meeting in New York to discuss the crisis behind
96600	97300	closed doors.
97780	102680	The UN Middle East envoy called on all countries to exert diplomatic efforts to restore calm.
104280	109740	In other news, an independent inquiry in the UK will begin hearings today into allegations
109740	115020	that British special forces killed dozens of unarmed civilians in Afghanistan between
115020	116640	2010 and 2013.
117180	121360	The inquiry was set up after legal action was brought by two Afghan families.
122640	128100	The U.S. Senate Majority Leader Chuck Schumer, who is leading a bipartisan delegation to China,
128540	130300	has met the foreign minister Wang Yi.
130760	135260	Mr Schumer is the latest high-level American official to visit as Washington seeks to
135260	137180	ease tensions with Beijing.
137800	141540	Mr Wang said he hoped the visit would help the U.S. to view its relationship with
141540	143620	China in a more objective way.
144680	148640	In Ecuador, the state of emergency has been extended by 30 days.
149080	152880	It's been in place since the assassination in August of the anti-corruption presidential
152880	155100	candidate Fernando Villavicencio.
155580	159540	The extension comes just days after seven Colombians arrested over the killing were
159540	160380	found dead in prison.
161080	162020	BBC News.
192940	197960	We start this half hour of the programme with the latest developments in Gaza and Israel.
198220	202480	It is now two days since Hamas militants launched a wave of attacks against Israel.
202480	208020	Hamas runs Gaza, where more than two million Palestinians live, and Hamas is also designated
208020	211020	as a terror group by much of the Western world.
211640	213720	The death toll continues to rise.
