start	end	text
14800	20280	Hello and welcome to Newsday from the BBC World Service with Rob Young and Victoria Oonghunda.
20440	25720	Israel is responding to Hamas' surprise attacks at the weekend with a series of airstrikes in Gaza.
25920	29220	Palestinian health officials say more than 400 people have been killed.
29440	33640	Israel says that more than 700 of its citizens have died in their attacks so far.
33800	35460	We get the latest from both sides.
35960	38220	The first is summary of the latest world news.
43560	45600	BBC News with Emily Thomas.
46560	52640	Israeli military has said its fighter jets, helicopters and artillery have struck over 500 targets
52640	58580	overnight in the Gaza Strip. Operations are continuing against Palestinian Hamas militants
58580	64560	in several locations inside Israel two days after they carried out a devastating mass assault.
64800	71440	More than 700 Israelis have been killed. Health officials in Gaza say more than 400 Palestinians
71440	74880	have been killed by Israeli air strikes before the latest barrage.
75960	80700	Hamas said it had fired missiles targeting Ben-Gurian airport near Tel Aviv.
81320	87460	Three U.S. air carriers, as well as Air France, Lufthansa and Emirates, have suspended services to Tel Aviv,
87960	91020	but some evacuation flights have taken place from the airport.
91340	97380	The UN Security Council has held an emergency meeting in New York to discuss the crisis behind closed doors.
97700	102740	The UN Middle East envoy called on all countries to exert diplomatic efforts to restore calm.
103860	109900	In other news, an independent inquiry in the UK will begin hearings today into allegations
109900	116660	that British special forces killed dozens of unarmed civilians in Afghanistan between 2010 and 2013.
117090	121480	The inquiry was set up after legal action was brought by two Afghan families.
122360	128160	The US Senate Majority Leader Chuck Schumer, who's leading a bipartisan delegation to China,
128620	130360	has met the Foreign Minister Wang Yi.
130360	133840	Mr Schumer is the latest high-level American official to visit
133840	137320	as Washington seeks to ease tensions with Beijing.
137620	140320	Mr. Wong said he hoped the visit would help the US
140320	143640	to view its relationship with China in a more objective way.
144740	148800	In Ecuador, the state of emergency has been extended by 30 days.
149020	151380	It's been in place since the assassination in August
151380	155160	of the anti-corruption presidential candidate Fernando Villavicencio.
155440	159200	The extension comes to days after seven Colombians arrested over the killing
159200	160780	were found dead in prison.
161260	162120	BBC News.
166400	168500	Emily, thank you for that news summary.
168640	169900	Hello and welcome to Newsday.
170080	172120	We will be focusing this half hour
172120	173660	on the latest development
173660	175480	inside Gaza and Israel
175480	177140	and hear from a aid organization
177140	178720	as to what can be done
178720	180540	to avoid more civilian deaths.
180740	183620	And we also have a full bulletin
183620	185440	of sports who do stay with us.
185440	186780	It's me, Vic and Rob
186780	188280	and Isaac Fennon later on.
192600	198000	Well, we start this half hour of the program with the latest developments in Gaza and Israel.
198220	202540	It is now two days since Hamas militants launched a wave of attacks against Israel.
203120	206580	Hamas runs Gaza where more than two million Palestinians live,
206780	211040	and Hamas is also designated as a terror group by much of the Western world.
211780	213820	The death toll continues to rise.
214060	217520	700 Israelis have been killed and over 2,000 injured.
217960	221380	In retaliation, Israel has launched airstrikes on the Gaza Strip,
221380	224820	which have killed at least 413 people.
225380	227660	And battles are continuing inside Israel
227660	231240	between the Israeli Defence Forces and Hamas fighters.
231360	233620	For the latest, I've been talking to a spokesperson
233620	237020	for the Israeli Defence Forces, Masha Mikkelson,
237160	240840	and I asked if there are still fighters in Israel at the moment.
241440	242540	Yes, there are.
242800	245660	There's fighting still going on in several points
245660	247780	in the community surrounding the Gaza Strip.
247880	251180	We're talking about Berri, Reim,
251380	258060	Kfar Aza, the Zikkim military base, there's ongoing combat, and it's a thing that takes
258060	264840	hours, multiple hours, to clear those terrorists out, and the idea of is focusing right now
264840	270240	on getting the southern part of Israel back to normal without terrorists on Israeli soil.
270340	272480	How long do you think it will take to get it back to normal?
273420	279460	It's hard to say. We hoped we would be in a better situation by the end of yesterday,
279460	281540	but they're still fighting going on.
281920	284040	This is our main objective throughout the day
284040	285820	to save as many lives as possible
285820	289100	and get the terrorists out of Israel,
289720	290600	whatever it takes.
291380	292740	While we're doing that,
292880	295620	IDF aircrafts are striking in Gaza,
296020	298620	hundreds of military Hamas terrorist targets.
301120	306680	We have seen around 880 targets
306680	309740	that have been struck, including terror tunnels.
311440	314820	That's, of course, in response to over 3,300 rockets
314820	318400	that were fired from the Gaza Strip in addition to the invasion.
318500	321120	I'm going to come back to the airstrikes in just a moment.
321580	325180	Do you know whether there are still Hamas fighters entering Israel,
325440	329220	or is that boundary between Israel and the Gaza Strip secure?
331500	336660	There are Hamas people trying to infiltrate Israel, yes, still as we speak,
336680	341560	They were being met with fire from IDF UAVs that are surveilling the area of the border.
342240	348380	When they entered two days ago in the morning, they blew up significant part of the fence.
348380	353540	So there are still breached points of the fence that we are securing through the year.
353980	359560	Do you know how many people have been abducted and taken from Israel to Gaza?
360500	363300	We don't have the exact numbers, but it's in the dozens.
363640	363920	Right.
363920	390180	Right. We spoke to one family an hour ago on this program. They think that five members of their family, including an eight-year-old girl, have been taken. And they contacted us because they were worried that the authorities were not doing all they could to try to secure their return. If you don't know exactly how many people have been taken, do you have any idea where these people are? And what are you intending to do to try to secure their release?
390180	398980	We've seen documentation of hostages being held in Gaza in apartments and basements.
399240	403020	They're spread through multiple locations as far as we know.
403660	411560	The top officers in the military are currently presenting the political echelon and the security cabinet
411560	415520	for the past two days with plausible military options to go forward.
415520	420160	And of course, the hostages in their possible locations are being taken in.
420180	426820	into account. As we decide what our next step is, Israel is a state that holds human life
426820	432980	sacred and we will do everything in our power to ensure that they're coming back home safe.
432980	438040	But this is who Hamas is. For years, they have been saying that this is their goal to eliminate
438040	442040	the Jewish state, to kill as many Jewish people as possible, to kidnap Jewish people.
443040	446360	And 48 hours ago, they showed their true face to the world.
447180	450080	Let's talk about the airstrikes. You said that,
450180	456500	Hamas targets and tunnels that allow Hamas fighters to get from Gaza into Israel have been hit
456500	463240	by air strikes, but also residential tower blocks have and mosques as well. And we hear that more
463240	471840	than 400 people have been killed, including children. So Palestinian civilians are being killed
471840	480140	and injured in these air strikes, aren't they? We're at war. The IDF targets, military
480180	482380	targets that are used by Hamas.
482560	484500	Now, if Hamas treats
484500	486300	their civilians for
486300	488500	years as human shields,
488820	490500	hiding ammunition
490500	492380	storages, hiding rocket
492380	494060	launchers beneath schools, beneath
494060	496160	mosques, beneath UN facilities
496160	498400	and kindergartens, we've seen
498400	500200	how they treat Israeli citizens that
500200	502480	they have kidnapped. The IDF strikes
502480	504360	targets that we have intelligence on that are
504360	506440	being used by Hamas for terrorism
506440	508140	and the way that
508140	509780	Hamas acts is entrenching themselves
509780	516300	cynically within civilian population to make these actions more complicated for the IDF.
516380	518340	Of course we are aware of that, but we are at war.
519200	522720	Masha Mikulsson there, spokesperson for the Israeli Defence Forces.
522920	529940	And I mentioned a family in that interview to that IDF spokesperson who are waiting for news
529940	534460	on five relatives who have been abducted by Hamas fighters.
534540	538460	We're going to play that interview with one of those family members later on in the program.
538460	543560	Well, the number of Palestinians killed in the violence has also continued to rise.
543660	550420	Health officials in Gaza said there is more than 400 deaths so far, and over 2,000 people have been injured.
